runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,seed
104,2048,5,ok,17,2092,1.965,84.742,834.686,1.609,6166518704921068640
105,2048,6,ok,17,2046,1.994,81.922,742.628,1.516,7789078646901297132
106,2048,7,ok,14,2067,2.653,95.462,731.502,1.468,1807306219714862571
107,2048,8,ok,14,2016,2.042,94.136,696.345,1.438,6694373468002666856
108,2048,9,ok,14,2065,2.055,101.876,773.681,1.547,1652905672386688081
109,2048,10,ok,12,2066,2.078,111.806,715.799,1.484,3713628177595134498
110,4096,1,ok,16,4150,4.651,479.449,3437.75,7.828,6473783178470069439
111,4096,2,ok,19,4049,4.513,383.295,3657.429,7.438,4158411468191849050
112,4096,3,ok,17,4033,4.703,450.837,3397.145,7.828,4672959582839010915
113,4096,4,ok,15,4078,4.529,450.022,3345.73,6.89,9026722635708401980
114,4096,5,ok,16,3949,4.269,447.793,3312.267,7.329,4747772592377662928
115,4096,6,ok,15,4047,4.408,466.069,3601.116,7.156,3871115916895010707
116,4096,7,ok,16,4101,4.47,480.949,3339.77,7.859,8197704951620787177
117,4096,8,ok,15,4122,4.525,494.028,3938.549,7.578,656903661346256229
118,4096,9,ok,15,4046,5.991,478.262,3371.004,7.328,5354238669185444189
119,4096,10,ok,15,4161,4.392,516.147,3908.406,7.907,2924393137722226272
120,8192,1,ok,19,8170,9.617,1725.134,16478.663,33.015,8033714545957080796
121,8192,2,ok,19,8154,8.879,1705.154,16655.12,32.625,1834516830063327537
122,8192,3,ok,16,8255,9.227,1998.636,15760.873,32.203,2397458845989756466
123,8192,4,ok,16,8216,8.896,2025.139,16308.786,32.625,4367939906113707301
124,8192,5,ok,17,8301,9.197,2007.627,17160.756,34.36,4627188491264139040
125,8192,6,ok,17,8206,8.792,1875.856,15898.544,32.125,6609417262176089614
126,8192,7,ok,18,8029,9.097,1810.116,16288.88,32.797,7841000847125749749
127,8192,8,ok,16,8152,8.856,2018.908,16955.687,32.547,8138998526755807609
128,8192,9,ok,16,8223,8.996,2121.502,16924.161,34.172,7518409791416663451
129,8192,10,ok,16,8148,9.611,2124.764,16810.264,34.218,6166295963296918870
130,16384,1,ok,16,16472,17.52,7366.819,59406.579,118.25,4852939690910908546
131,16384,2,timeout,,,,,,120.047,5550896846518114354
132,16384,3,ok,17,16524,17.853,6808.805,56333.44,116.172,2796356656906383670
133,16384,4,timeout,,,,,,120.047,2853427764639621369
134,16384,5,ok,18,16460,19.338,6501.705,56272.136,117.422,5230938598703404363
135,16384,6,timeout,,,,,,120.047,8674847417655947886
136,16384,7,ok,19,16202,19.345,6199.459,58835.493,118.203,7905291894788724447
137,16384,8,timeout,,,,,,120.047,1302894972195000673
138,16384,9,timeout,,,,,,120.031,941031561737582313
139,16384,10,timeout,,,,,,120.031,219005817828718685
