n,rounds,fires,min_ms,avg_ms,max_ms
2,4,1,0.094,0.147,0.244
4,6,4,0.165,0.233,0.362
8,5,9,0.417,0.708,0.997
16,7,11,0.741,1.225,2.710
32,6,24,1.514,2.751,6.693
64,12,70,2.374,6.313,24.484
128,7,127,4.822,20.619,50.969
256,10,255,11.268,64.476,244.843
512,0,0,0.000,0.000,0.000
1024,13,1060,44.349,713.736,4074.674
2048,0,0,0.000,0.000,0.000
