runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,consistencyWarnings,durationSeconds,seed
70,256,1,ok,13,245,0.539,7.635,70.778,0,0.172,1744345799205998413
71,256,2,ok,10,247,0.66,10.522,72.973,0,0.187,520436444807739648
72,256,3,ok,11,262,0.536,9.27,79.16,0,0.187,334191823883843991
73,256,4,ok,11,276,0.606,8.744,72.411,0,0.188,7659732841650028724
74,256,5,ok,11,248,0.602,9.629,79.744,0,0.187,7470016679369255406
75,256,6,ok,12,262,0.51,8.185,72.923,0,0.188,8107662325536830099
76,256,7,ok,13,262,0.557,8.017,78.711,0,0.187,8375919134922111734
77,256,8,ok,14,261,0.586,8.231,84.154,0,0.204,3911399038350807308
78,256,9,ok,12,245,0.683,8.69,78.231,0,0.187,4739190036102550526
79,256,10,ok,11,261,0.51,10.764,78.972,0,0.203,8929717966087890418
80,512,1,ok,12,506,0.965,14.205,123.46,0,0.266,7270396837054348246
81,512,2,ok,13,525,1.034,13.077,114.824,0,0.265,4984258709130948055
82,512,3,ok,12,517,1.032,16.923,151.008,0,0.297,3905120542235250196
83,512,4,ok,12,509,1.106,16.368,142.567,0,0.282,2031680673497390482
84,512,5,ok,12,531,0.97,16.364,137.072,0,0.281,6426324905632571715
85,512,6,ok,16,486,1.003,12.626,139.746,0,0.297,5622259586610597393
86,512,7,ok,12,496,1.102,15.417,121.181,0,0.281,1377960913001740218
87,512,8,ok,14,492,0.954,12.923,129.468,0,0.266,1621039132307380459
88,512,9,ok,12,526,1.041,16.314,145.356,0,0.296,5679093507516808981
89,512,10,ok,12,534,0.981,13.697,114.695,0,0.25,366411503286970831
90,1024,1,ok,13,1030,2.115,33.199,256.403,0,0.547,2577045656484769813
91,1024,2,ok,13,1034,1.368,32.406,245.871,0,0.532,913508253720323514
92,1024,3,ok,15,1024,1.127,28.887,233.773,0,0.531,2761746074972484813
93,1024,4,ok,14,1042,1.288,29.87,245.661,0,0.531,5319123786986953943
94,1024,5,ok,15,1038,1.088,29.856,277.419,0,0.563,5335558460452064294
95,1024,6,ok,13,1036,1.41,36.424,291.587,0,0.578,2007094820313113714
96,1024,7,ok,13,1022,1.975,30.246,240.627,0,0.5,6678943749365507566
97,1024,8,ok,14,1016,1.709,28.998,232.32,0,0.515,9128499918332848873
98,1024,9,ok,14,1012,1.129,27.997,221.235,0,0.516,7485791628016669970
99,1024,10,ok,16,1039,1.164,31.111,304.981,0,0.609,6774865464976505435
