n,runs,failedRuns,roundsMin,roundsMax,roundsMean,multicastsMin,multicastsMax,multicastsMean,minMsMin,minMsMax,minMsMean,avgMsMin,avgMsMax,avgMsMean,maxMsMin,maxMsMax,maxMsMean,durationSecondsMin,durationSecondsMax,durationSecondsMean
2,10,0,3,7,5.5,0,3,1.2,0.078,0.089,0.084,0.81,1.923,1.154,5.098,6.351,5.564,0.078,0.094,0.089
4,10,0,3,8,6.3,0,5,2.2,0.155,0.727,0.231,0.864,11.525,2.231,5.34,53.708,10.795,0.078,0.218,0.105
8,10,0,6,10,8.3,3,7,4.7,0.313,0.373,0.344,0.978,1.468,1.197,5.896,7.925,6.446,0.078,0.125,0.099
16,10,0,7,7,7,6,12,8.6,0.58,0.67,0.624,1.524,1.991,1.698,5.817,7.377,6.674,0.078,0.11,0.095
32,10,0,9,9,9,10,12,11.5,0.774,1.015,0.898,1.919,2.081,2.008,6.65,7.618,7.146,0.093,0.11,0.1
64,10,0,9,9,9,28,29,28.7,0.776,1.106,0.918,2.733,3.16,2.886,7.933,9.045,8.292,0.094,0.11,0.108
128,10,0,13,13,13,60,63,61.9,0.383,0.739,0.618,2.977,7.724,3.674,12.031,52.449,17.447,0.125,0.187,0.136
256,10,0,13,13,13,128,131,129.2,0.59,1.077,0.827,5.438,6.622,6.085,28.173,39.955,31.984,0.156,0.172,0.164
512,10,0,13,13,13,262,264,262.8,0.954,1.065,0.997,9.539,11.051,10.032,66.969,87.0,73.753,0.203,0.235,0.222
1024,10,0,16,16,16,525,528,526.8,1.146,1.794,1.294,15.625,19.172,16.433,141.861,181.606,150.898,0.344,0.406,0.358
2048,10,0,16,16,16,1115,1126,1120.9,1.969,2.644,2.144,42.123,82.387,48.718,238.688,819.884,320.726,0.781,1.438,0.891
