runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,seed,logPath
0,2,1,ok,5,1,0.089,1.357,6.351,0.094,2026,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run0-n2.log
1,2,2,ok,5,1,0.084,1.198,5.563,0.093,2027,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run1-n2.log
2,2,3,ok,7,2,0.08,0.884,5.556,0.078,2028,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run2-n2.log
3,2,4,ok,7,3,0.079,0.81,5.098,0.094,2029,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run3-n2.log
4,2,5,ok,6,1,0.087,1.042,5.716,0.094,2030,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run4-n2.log
5,2,6,ok,5,1,0.078,1.228,5.737,0.078,2031,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run5-n2.log
6,2,7,ok,5,1,0.085,1.124,5.224,0.094,2032,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run6-n2.log
7,2,8,ok,6,1,0.083,0.94,5.132,0.078,2033,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run7-n2.log
8,2,9,ok,6,1,0.084,1.032,5.685,0.094,2034,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run8-n2.log
9,2,10,ok,3,0,0.088,1.923,5.581,0.093,2035,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run9-n2.log
10,4,1,ok,6,1,0.171,1.117,5.715,0.079,2036,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run10-n4.log
11,4,2,ok,6,1,0.233,1.147,5.64,0.093,2037,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run11-n4.log
12,4,3,ok,3,0,0.156,1.949,5.495,0.094,2038,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run12-n4.log
13,4,4,ok,8,3,0.166,0.88,5.567,0.094,2039,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run13-n4.log
14,4,5,ok,8,3,0.176,0.969,6.057,0.078,2040,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run14-n4.log
15,4,6,ok,8,5,0.166,0.864,5.34,0.094,2041,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run15-n4.log
16,4,7,ok,7,4,0.155,1.006,5.686,0.093,2042,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run16-n4.log
17,4,8,ok,6,2,0.17,1.257,6.437,0.094,2043,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run17-n4.log
18,4,9,ok,6,2,0.191,1.598,8.306,0.11,2044,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run18-n4.log
19,4,10,ok,5,1,0.727,11.525,53.708,0.218,2045,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run19-n4.log
20,8,1,ok,6,3,0.365,1.468,6.649,0.094,2046,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run20-n8.log
21,8,2,ok,10,5,0.333,1.214,7.925,0.125,2047,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run21-n8.log
22,8,3,ok,10,5,0.313,1.04,6.597,0.109,2048,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run22-n8.log
23,8,4,ok,10,4,0.318,1.0,6.41,0.094,2049,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run23-n8.log
24,8,5,ok,10,3,0.341,0.988,6.159,0.094,2050,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run24-n8.log
25,8,6,ok,10,5,0.339,0.978,6.056,0.094,2051,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run25-n8.log
26,8,7,ok,7,4,0.373,1.338,6.337,0.109,2052,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run26-n8.log
27,8,8,ok,7,5,0.354,1.303,6.343,0.094,2053,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run27-n8.log
28,8,9,ok,7,7,0.357,1.245,5.896,0.094,2054,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run28-n8.log
29,8,10,ok,6,6,0.346,1.394,6.085,0.078,2055,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run29-n8.log
30,16,1,ok,7,11,0.599,1.603,6.138,0.093,2056,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run30-n16.log
31,16,2,ok,7,12,0.58,1.805,7.377,0.094,2057,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run31-n16.log
32,16,3,ok,7,12,0.67,1.991,7.174,0.11,2058,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run32-n16.log
33,16,4,ok,7,10,0.632,1.698,6.337,0.109,2059,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run33-n16.log
34,16,5,ok,7,9,0.645,1.524,5.817,0.078,2060,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run34-n16.log
35,16,6,ok,7,8,0.601,1.721,7.056,0.094,2061,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run35-n16.log
36,16,7,ok,7,6,0.646,1.618,6.342,0.094,2062,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run36-n16.log
37,16,8,ok,7,6,0.631,1.61,6.34,0.093,2063,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run37-n16.log
38,16,9,ok,7,6,0.631,1.708,7.125,0.094,2064,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run38-n16.log
39,16,10,ok,7,6,0.601,1.7,7.033,0.094,2065,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run39-n16.log
40,32,1,ok,9,12,0.885,1.993,7.09,0.109,2066,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run40-n32.log
41,32,2,ok,9,12,0.847,2.013,7.111,0.094,2067,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run41-n32.log
42,32,3,ok,9,11,0.968,2.081,7.498,0.109,2068,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run42-n32.log
43,32,4,ok,9,11,1.015,2.056,7.083,0.11,2069,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run43-n32.log
44,32,5,ok,9,10,0.953,2.057,7.618,0.093,2070,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run44-n32.log
45,32,6,ok,9,11,0.96,1.919,6.65,0.094,2071,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run45-n32.log
46,32,7,ok,9,12,0.925,1.985,7.03,0.11,2072,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run46-n32.log
47,32,8,ok,9,12,0.85,1.93,6.848,0.093,2073,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run47-n32.log
48,32,9,ok,9,12,0.774,2.019,7.433,0.094,2074,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run48-n32.log
49,32,10,ok,9,12,0.799,2.026,7.102,0.094,2075,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run49-n32.log
