runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,seed,logPath
50,64,1,ok,9,28,1.106,3.16,9.045,0.11,2076,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run50-n64.log
51,64,2,ok,9,29,0.815,2.93,8.392,0.109,2077,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run51-n64.log
52,64,3,ok,9,29,0.776,2.791,8.05,0.11,2078,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run52-n64.log
53,64,4,ok,9,29,1.048,2.865,8.157,0.109,2079,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run53-n64.log
54,64,5,ok,9,29,1.001,2.845,8.34,0.109,2080,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run54-n64.log
55,64,6,ok,9,29,0.861,2.976,8.433,0.11,2081,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run55-n64.log
56,64,7,ok,9,29,0.916,2.85,8.287,0.109,2082,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run56-n64.log
57,64,8,ok,9,28,0.98,2.838,7.933,0.109,2083,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run57-n64.log
58,64,9,ok,9,29,0.806,2.733,8.061,0.094,2084,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run58-n64.log
59,64,10,ok,9,28,0.867,2.868,8.224,0.11,2085,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run59-n64.log
60,128,1,ok,13,60,0.739,3.209,13.209,0.125,2086,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run60-n128.log
61,128,2,ok,13,60,0.715,3.084,12.031,0.125,2087,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run61-n128.log
62,128,3,ok,13,61,0.383,7.724,52.449,0.187,2088,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run62-n128.log
63,128,4,ok,13,62,0.654,3.741,17.086,0.172,2089,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run63-n128.log
64,128,5,ok,13,62,0.577,2.977,12.554,0.125,2090,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run64-n128.log
65,128,6,ok,13,63,0.701,3.436,14.144,0.125,2091,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run65-n128.log
66,128,7,ok,13,63,0.613,3.075,12.377,0.125,2092,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run66-n128.log
67,128,8,ok,13,63,0.618,3.224,14.231,0.125,2093,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run67-n128.log
68,128,9,ok,13,63,0.544,3.123,14.11,0.125,2094,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run68-n128.log
69,128,10,ok,13,62,0.637,3.142,12.276,0.125,2095,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run69-n128.log
70,256,1,ok,13,129,0.836,5.962,31.867,0.156,2096,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run70-n256.log
71,256,2,ok,13,128,1.077,6.111,28.173,0.172,2097,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run71-n256.log
72,256,3,ok,13,128,0.59,5.438,31.853,0.156,2098,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run72-n256.log
73,256,4,ok,13,128,0.793,6.517,31.591,0.157,2099,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run73-n256.log
74,256,5,ok,13,129,0.705,6.002,29.911,0.171,2100,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run74-n256.log
75,256,6,ok,13,130,0.816,6.114,31.116,0.172,2101,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run75-n256.log
76,256,7,ok,13,131,0.664,6.015,39.955,0.157,2102,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run76-n256.log
77,256,8,ok,13,130,0.895,6.341,31.263,0.171,2103,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run77-n256.log
78,256,9,ok,13,130,0.817,5.729,31.93,0.157,2104,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run78-n256.log
79,256,10,ok,13,129,1.077,6.622,32.182,0.172,2105,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run79-n256.log
80,512,1,ok,13,262,0.993,9.539,69.365,0.218,2106,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run80-n512.log
81,512,2,ok,13,262,0.979,10.584,76.923,0.235,2107,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run81-n512.log
82,512,3,ok,13,262,0.963,9.683,66.969,0.203,2108,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run82-n512.log
83,512,4,ok,13,262,0.974,10.3,76.974,0.234,2109,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run83-n512.log
84,512,5,ok,13,262,1.002,10.143,74.569,0.219,2110,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run84-n512.log
85,512,6,ok,13,263,0.954,9.826,74.292,0.219,2111,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run85-n512.log
86,512,7,ok,13,263,1.065,9.909,75.08,0.218,2112,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run86-n512.log
87,512,8,ok,13,264,1.064,11.051,87.0,0.235,2113,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run87-n512.log
88,512,9,ok,13,264,0.961,9.548,68.372,0.219,2114,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run88-n512.log
89,512,10,ok,13,264,1.013,9.733,67.987,0.218,2115,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run89-n512.log
90,1024,1,ok,16,527,1.23,15.625,143.685,0.344,2116,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run90-n1024.log
91,1024,2,ok,16,528,1.794,19.172,181.606,0.406,2117,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run91-n1024.log
92,1024,3,ok,16,528,1.26,16.055,141.861,0.344,2118,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run92-n1024.log
93,1024,4,ok,16,527,1.309,16.056,149.444,0.359,2119,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run93-n1024.log
94,1024,5,ok,16,527,1.274,16.235,153.338,0.36,2120,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run94-n1024.log
95,1024,6,ok,16,526,1.173,16.084,149.375,0.344,2121,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run95-n1024.log
96,1024,7,ok,16,527,1.242,16.379,154.927,0.359,2122,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run96-n1024.log
97,1024,8,ok,16,527,1.231,16.353,142.551,0.359,2123,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run97-n1024.log
98,1024,9,ok,16,526,1.281,16.066,149.166,0.344,2124,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run98-n1024.log
99,1024,10,ok,16,525,1.146,16.307,143.029,0.359,2125,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run99-n1024.log
100,2048,1,ok,16,1115,2.093,44.029,253.308,0.813,2126,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run100-n2048.log
101,2048,2,ok,16,1116,2.644,44.231,261.378,0.828,2127,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run101-n2048.log
102,2048,3,ok,16,1118,2.158,82.387,819.884,1.438,2128,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run102-n2048.log
103,2048,4,ok,16,1118,2.119,42.741,259.503,0.796,2129,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run103-n2048.log
104,2048,5,ok,16,1121,1.969,44.71,279.464,0.829,2130,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run104-n2048.log
105,2048,6,ok,16,1122,2.007,47.756,296.113,0.875,2131,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run105-n2048.log
106,2048,7,ok,16,1123,2.205,42.123,238.688,0.781,2132,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run106-n2048.log
107,2048,8,ok,16,1125,2.157,46.429,264.297,0.844,2133,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run107-n2048.log
108,2048,9,ok,16,1125,2.108,47.7,285.194,0.875,2134,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run108-n2048.log
109,2048,10,ok,16,1126,1.985,45.076,249.426,0.828,2135,C:\Users\valen\IdeaProjects\2026S-DS\results\sim4da-firework-20260531-110501\run109-n2048.log
